"1", "Enter: Naruto Uzumaki!", "MANGA CANON", "2002-10-03"
"2", "My Name is Konohamaru!", "MANGA CANON", "2002-10-10"
"3", "Sasuke and Sakura: Friends or Foes?", "MANGA CANON", "2002-10-17"
"4", "Pass or Fail: Survival Test", "MANGA CANON", "2002-10-24"
"5", "You Failed! Kakashi's Final Decision", "MANGA CANON", "2002-10-31"
"6", "A Dangerous Mission! Journey to the Land of Waves!", "MANGA CANON", "2002-11-07"
"7", "The Assassin of the Mist!", "MIXED CANON/FILLER", "2002-11-14"
"8", "The Oath of Pain", "MANGA CANON", "2002-11-21"
"9", "Kakashi: Sharingan Warrior", "MIXED CANON/FILLER", "2002-11-28"
"10", "The Forest of Chakra", "MANGA CANON", "2002-12-05"
"11", "The Land Where a Hero Once Lived", "MANGA CANON", "2002-12-12"
"12", "Battle on the Bridge! Zabuza Returns!!", "MANGA CANON", "2002-12-19"
"13", "Haku's Secret Jutsu: Crystal Ice Mirrors", "MANGA CANON", "2002-12-21"
"14", "The Number One Hyperactive, Knucklehead Ninja Joins the Fight!!", "MIXED CANON/FILLER", "2002-12-22"
"15", "Zero Visibility: The Sharingan Shatters", "MIXED CANON/FILLER", "2002-12-23"
"16", "The Broken Seal", "MIXED CANON/FILLER", "2002-12-24"
"17", "White Past: Hidden Ambition", "MANGA CANON", "2002-12-25"
"18", "The Weapons Known as Shinobi", "MIXED CANON/FILLER", "2003-01-31"
"19", "The Demon in the Snow", "MIXED CANON/FILLER", "2003-02-13"
"20", "A New Chapter Begins: The Chunin Exam!", "MIXED CANON/FILLER", "2003-02-20"
"21", "Identify Yourself: Powerful New Rivals", "MIXED CANON/FILLER", "2003-02-27"
"22", "Chunin Challenge: Rock Lee vs. Sasuke!", "MANGA CANON", "2003-03-06"
"23", "Genin Takedown! All Nine Rookies Face Off!", "MIXED CANON/FILLER", "2003-03-13"
"24", "Start Your Engines: The Chunin Exam Begins!", "MIXED CANON/FILLER", "2003-03-20"
"25", "The Tenth Question: All or Nothing!", "MANGA CANON", "2003-03-27"
"26", "Special Report: Live from the Forest of Death!", "FILLER", "2003-04-02"
"27", "The Chunin Exam Stage 2: The Forest of Death", "MIXED CANON/FILLER", "2003-04-02"
"28", "Eat or be Eaten: Panic in the Forest", "MIXED CANON/FILLER", "2003-04-09"
"29", "Naruto's Counterattack: Never Give In!", "MIXED CANON/FILLER", "2003-04-16"
"30", "The Sharingan Revived: Dragon-Flame Jutsu!", "MIXED CANON/FILLER", "2003-04-23"
"31", "Bushy Brow's Pledge: Undying Love and Protection!", "MANGA CANON", "2003-05-02"
"32", "Sakura Blossoms!", "MANGA CANON", "2003-05-07"
"33", "Battle Formation: Ino-Shika-Cho!", "MANGA CANON", "2003-05-14"
"34", "Akamaru Trembles: Gaara's Cruel Strength!", "MANGA CANON", "2003-05-21"
"35", "The Scroll's Secret: No Peeking Allowed", "MANGA CANON", "2003-05-28"
"36", "Clone vs. Clone: Mine are Better than Yours!", "MANGA CANON", "2003-06-04"
"37", "Surviving the Cut! The Rookie Nine Together Again!", "MIXED CANON/FILLER", "2003-06-11"
"38", "Narrowing the Field: Sudden Death Elimination!", "MIXED CANON/FILLER", "2003-06-18"
"39", "Bushy Brow's Jealousy: Lions Barrage Unleashed!", "MIXED CANON/FILLER", "2003-07-02"
"40", "Kakashi and Orochimaru: Face-to-Face!", "MIXED CANON/FILLER", "2003-07-09"
"41", "Kunoichi Rumble: The Rivals Get Serious!", "MIXED CANON/FILLER", "2003-07-16"
"42", "The Ultimate Battle: Cha!", "MANGA CANON", "2003-07-23"
"43", "Killer Kunoichi and a Shaky Shikamaru", "MIXED CANON/FILLER", "2003-07-30"
"44", "Akamaru Unleashed! Who's Top Dog Now?", "MIXED CANON/FILLER", "2003-08-06"
"45", "Surprise Attack! Naruto's Secret Weapon!", "MIXED CANON/FILLER", "2003-08-13"
"46", "Byakugan Battle: Hinata Grows Bold!", "MIXED CANON/FILLER", "2003-08-20"
"47", "A Failure Stands Tall!", "MIXED CANON/FILLER", "2003-08-27"
"48", "Gaara vs. Rock Lee: The Power of Youth Explodes!", "MANGA CANON", "2003-09-03"
"49", "Lee's Hidden Strength: Forbidden Secret Jutsu!", "MIXED CANON/FILLER", "2003-09-10"
"50", "The Fifth Gate: A Splendid Ninja is Born", "MANGA CANON", "2003-09-17"
"51", "A Shadow in Darkness: Danger Approaches Sasuke", "MANGA CANON", "2003-09-24"
"52", "Ebisu Returns: Naruto's Toughest Training Yet!", "MIXED CANON/FILLER", "2003-10-01"
"53", "Long Time No See: Jiraiya Returns!", "MIXED CANON/FILLER", "2003-10-08"
"54", "The Summoning Jutsu: Wisdom of the Toad Sage!", "MIXED CANON/FILLER", "2003-10-15"
"55", "A Feeling of Yearning, A Flower Full of Hope", "MIXED CANON/FILLER", "2003-10-22"
"56", "Live or Die: Risk it All to Win it All!", "MIXED CANON/FILLER", "2003-10-29"
"57", "He Flies! He Jumps! He Lurks! Chief Toad Appears!", "MIXED CANON/FILLER", "2003-11-05"
"58", "Hospital Besieged: The Evil Hand Revealed!", "MIXED CANON/FILLER", "2003-11-12"
"59", "The Final Rounds: Rush to the Battle Arena!", "MIXED CANON/FILLER", "2003-11-19"
"60", "Byakugan vs. Shadow Clone", "MIXED CANON/FILLER", "2003-11-26"
"61", "Ultimate Defense: Zero Blind Spot!", "MANGA CANON", "2003-12-03"
"62", "A Failure's True Power", "MANGA CANON", "2003-12-10"
"63", "Hit it or Quit it: The Final Rounds Get Complicated!", "MIXED CANON/FILLER", "2003-12-17"
"64", "Zero Motivation: The Guy with Cloud Envy!", "MANGA CANON", "2003-12-24"
"65", "Dancing Leaf, Squirming Sand", "MANGA CANON", "2003-12-31"
"66", "Bushy Brow's Jutsu: Sasuke Style!", "MIXED CANON/FILLER", "2004-01-14"
"67", "Late for the Show, But Ready to Go! The Ultimate Secret Technique is Born!", "MANGA CANON", "2004-01-14"
"68", "Zero Hour! The Destruction of the Hidden Leaf Village Begins!", "MANGA CANON", "2004-01-28"
"69", "Village in Distress: A New A-Ranked Mission!", "MIXED CANON/FILLER", "2004-02-04"
"70", "A Shirker's Call to Action: A Layabout No More!", "MIXED CANON/FILLER", "2004-02-11"
"71", "An Unrivaled Match: Hokage Battle Royale!", "MIXED CANON/FILLER", "2004-02-18"
"72", "A Mistake from the Past: A Face Revealed!", "MIXED CANON/FILLER", "2004-02-25"
"73", "Forbidden Secret Technique: Reaper Death Seal!", "MANGA CANON", "2004-03-03"
"74", "Astonishing Truth! Gaara's Identity Emerges!", "MIXED CANON/FILLER", "2004-03-10"
"75", "Sasuke's Decision: Pushed to the Edge!", "MANGA CANON", "2004-03-17"
"76", "Assassin of the Moonlit Night", "MANGA CANON", "2004-03-24"
"77", "Light vs. Dark: The Two Faces of Gaara", "MANGA CANON", "2004-03-31"
